[2019-03-26 오전 8:59:01] RQName: 계좌평가현황요청 TRCode: opw00004 메세지: [100000] 조회가 완료되었습니다.
[2019-03-26 오전 9:00:12] 종목 :	215480	토박스코리아
[2019-03-26 오전 9:00:34] 종목 :	066130	하츠
[2019-03-26 오전 9:00:44] 종목 :	090710	디에스티로봇
[2019-03-26 오전 9:00:46] 종목 :	025980	아난티
[2019-03-26 오전 9:01:02] 종목 :	007630	폴루스바이오팜
[2019-03-26 오전 9:01:23] 종목 :	215100	로보로보
[2019-03-26 오전 9:01:51] 종목 :	214680	디알텍
[2019-03-26 오전 9:01:55] 종목 :	005110	한창
[2019-03-26 오전 9:02:34] 종목 :	002990	금호산업
[2019-03-26 오전 9:02:49] 종목 :	020560	아시아나항공
[2019-03-26 오전 9:04:34] 종목 :	197210	리드
[2019-03-26 오전 9:05:13] 종목 :	041930	동아화성
[2019-03-26 오전 9:05:38] 종목 :	002700	신일산업
[2019-03-26 오전 9:06:09] 종목 :	153710	옵티팜
[2019-03-26 오전 9:06:34] 종목 :	008040	사조동아원
[2019-03-26 오전 9:06:49] 종목 :	105740	디케이락
[2019-03-26 오전 9:07:03] 종목 :	052600	한네트
[2019-03-26 오전 9:07:37] 종목 :	032790	엠젠플러스
[2019-03-26 오전 9:08:28] 종목 :	078130	국일제지
[2019-03-26 오전 9:09:13] 종목 :	012690	모나리자
[2019-03-26 오전 9:09:37] 종목 :	089150	케이씨티
[2019-03-26 오전 9:10:32] 종목 :	208640	썸에이지
[2019-03-26 오전 9:12:48] 종목 :	184230	SGA솔루션즈
[2019-03-26 오전 9:13:00] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:00] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:01] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:01] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:02] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:02] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:03] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:03] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:04] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:04] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:05] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:05] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:06] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:06] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:07] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:07] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:08] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:08] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:09] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:09] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:10] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:10] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:11] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:11] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:12] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:12] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:13] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:13] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:14] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:14] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:16] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:16] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:17] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:17] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:18] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:18] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:19] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:19] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:20] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:20] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:21] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:21] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:22] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:22] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:23] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:23] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:24] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:24] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:25] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:25] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:26] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:26] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:27] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:27] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:28] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:28] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:29] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:29] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:30] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:30] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:30] 종목 :	215090	한컴유니맥스
[2019-03-26 오전 9:13:31] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:31] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:32] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:32] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:33] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:33] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:34] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:34] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:35] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:35] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:36] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:36] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:37] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:37] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:38] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:38] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:39] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:39] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:40] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:40] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:41] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:41] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:42] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:42] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:43] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:43] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:44] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:44] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:45] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:45] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:46] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:46] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:47] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:47] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:48] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:48] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:49] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:49] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:50] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:50] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:51] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:51] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:52] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:52] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:53] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:53] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:54] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:54] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:55] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:55] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:56] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:56] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:57] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:57] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:58] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:58] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:13:59] 시간딜레이 :	215100	로보로보	913/953
[2019-03-26 오전 9:13:59] 시간딜레이 :	002990	금호산업	913/953
[2019-03-26 오전 9:14:00] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:00] 매수(4%) :	214680	디알텍
[2019-03-26 오전 9:14:00] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 9:14:01] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:01] 매수취소 :	214680	디알텍
[2019-03-26 오전 9:14:01] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_CANCEL 메세지: [107071] 매수취소 주문입력이 완료되었습니다
[2019-03-26 오전 9:14:02] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:03] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:04] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:05] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:06] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:07] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:08] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:09] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:10] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:11] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:12] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:13] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:14] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:15] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:16] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:17] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:18] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:19] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:20] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:21] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:22] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:23] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:24] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:25] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:26] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:27] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:28] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:29] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:30] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:31] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:32] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:33] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:14:34] 시간딜레이 :	215100	로보로보	914/954
[2019-03-26 오전 9:19:45] 종목 :	067730	로지시스
[2019-03-26 오전 9:19:45] 종목 :	078140	대봉엘에스
[2019-03-26 오전 9:19:45] 종목 :	115500	케이씨에스
[2019-03-26 오전 9:19:45] 종목 :	184230	SGA솔루션즈
[2019-03-26 오전 9:19:45] 종목 :	208640	썸에이지
[2019-03-26 오전 9:19:45] 종목 :	214680	디알텍
[2019-03-26 오전 9:19:45] 종목 :	215090	한컴유니맥스
[2019-03-26 오전 9:19:45] 종목 :	215100	로보로보
[2019-03-26 오전 9:19:50] 종목 :	215480	토박스코리아
[2019-03-26 오전 9:19:58] 종목 :	020560	아시아나항공
[2019-03-26 오전 9:20:02] 종목 :	052600	한네트
[2019-03-26 오전 9:20:11] 종목 :	068290	삼성출판사
[2019-03-26 오전 9:20:24] 종목 :	065950	웰크론
[2019-03-26 오전 9:20:49] 종목 :	012690	모나리자
[2019-03-26 오전 9:21:12] 종목 :	005360	모나미
[2019-03-26 오전 9:21:27] 종목 :	078130	국일제지
[2019-03-26 오전 9:21:33] 종목 :	067390	아스트
[2019-03-26 오전 9:22:34] 종목 :	089150	케이씨티
[2019-03-26 오전 9:23:06] 종목 :	197210	리드
[2019-03-26 오전 9:23:41] 종목 :	002880	대유에이텍
[2019-03-26 오전 9:23:56] 종목 :	012600	청호컴넷
[2019-03-26 오전 9:24:00] 매수(4%) :	215090	한컴유니맥스
[2019-03-26 오전 9:24:00] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 9:24:01] 매수취소 :	215090	한컴유니맥스
[2019-03-26 오전 9:24:02] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_CANCEL 메세지: [571432] 원주문이정정/취소불가주문입니다
[2019-03-26 오전 9:24:27] 종목 :	033180	필룩스
[2019-03-26 오전 9:24:53] 종목 :	065450	빅텍
[2019-03-26 오전 9:28:10] 종목 :	078140	대봉엘에스
[2019-03-26 오전 9:28:10] 종목 :	215100	로보로보
[2019-03-26 오전 9:28:30] 종목 :	052600	한네트
[2019-03-26 오전 9:28:34] 종목 :	115500	케이씨에스
[2019-03-26 오전 9:28:42] 종목 :	215090	한컴유니맥스
[2019-03-26 오전 9:28:58] 종목 :	067730	로지시스
[2019-03-26 오전 9:28:58] 종목 :	089150	케이씨티
[2019-03-26 오전 9:28:59] 종목 :	012600	청호컴넷
[2019-03-26 오전 9:29:22] 종목 :	002880	대유에이텍
[2019-03-26 오전 9:30:02] 종목 :	208640	썸에이지
[2019-03-26 오전 9:30:32] 종목 :	012690	모나리자
[2019-03-26 오전 9:30:37] 종목 :	065450	빅텍
[2019-03-26 오전 9:31:19] 종목 :	024740	한일단조
[2019-03-26 오전 9:31:41] 종목 :	067390	아스트
[2019-03-26 오전 9:31:50] 종목 :	214680	디알텍
[2019-03-26 오전 9:31:51] 종목 :	205470	휴마시스
[2019-03-26 오전 9:32:37] 종목 :	068290	삼성출판사
[2019-03-26 오전 9:32:48] 종목 :	184230	SGA솔루션즈
[2019-03-26 오전 9:32:55] 종목 :	160550	NEW
[2019-03-26 오전 9:33:46] 종목 :	020560	아시아나항공
[2019-03-26 오전 9:35:54] 종목 :	226350	아이엠텍
[2019-03-26 오전 9:36:13] 종목 :	218150	미래생명자원
[2019-03-26 오전 9:37:51] 종목 :	094940	푸른기술
[2019-03-26 오전 9:38:44] 종목 :	900260	로스웰
[2019-03-26 오전 9:39:22] 종목 :	025980	아난티
[2019-03-26 오전 9:40:00] 시간딜레이 :	078140	대봉엘에스	940/980
[2019-03-26 오전 9:41:01] 매수(4%) :	115500	케이씨에스
[2019-03-26 오전 9:41:01] RQName: 주식주문 TRCode: KOA_NORMAL_BUY_KQ_ORD 메세지: [107066] 매수주문이 완료되었습니다.
[2019-03-26 오전 9:41:02] 매수취소 :	115500	케이씨에스
[2019-03-26 오전 9:41:02] RQName: 주식주문 TRCode: KOA_NORMAL_KQ_CANCEL 메세지: [107071] 매수취소 주문입력이 완료되었습니다
[2019-03-26 오전 9:41:56] 종목 :	078070	유비쿼스홀딩스
[2019-03-26 오전 9:42:01] 시간딜레이 :	012600	청호컴넷	942/982
[2019-03-26 오전 9:42:35] 종목 :	900250	크리스탈신소재
[2019-03-26 오전 9:43:56] 종목 :	012600	청호컴넷
[2019-03-26 오전 9:43:56] 종목 :	020560	아시아나항공
[2019-03-26 오전 9:43:56] 종목 :	078140	대봉엘에스
[2019-03-26 오전 9:43:56] 종목 :	208640	썸에이지
[2019-03-26 오전 9:43:56] 종목 :	215100	로보로보
[2019-03-26 오전 9:44:24] 종목 :	041930	동아화성
