[2019-10-08 오전 9:00:09] 피봇1차이상 상승 : 900100	뉴프라이드
[2019-10-08 오전 9:00:21] 종목 :	033170	시그네틱스
[2019-10-08 오전 9:00:22] 피봇2차이상 상승 : 033170	시그네틱스
[2019-10-08 오전 9:00:25] 종목(중복) :	027740
[2019-10-08 오전 9:00:27] 종목 :	096630	에스코넥
[2019-10-08 오전 9:00:36] 피봇2차이상 상승 : 096630	에스코넥
[2019-10-08 오전 9:00:36] 종목(중복) :	027740
[2019-10-08 오전 9:00:39] 종목(중복) :	027740
[2019-10-08 오전 9:00:42] 종목(중복) :	900100
[2019-10-08 오전 9:00:44] 종목(중복) :	027740
[2019-10-08 오전 9:00:45] 종목(중복) :	027740
[2019-10-08 오전 9:00:54] 피봇1차이상 상승 : 049080	기가레인
[2019-10-08 오전 9:00:55] 종목(중복) :	233740
[2019-10-08 오전 9:00:56] 종목(중복) :	233740
[2019-10-08 오전 9:00:57] 종목(중복) :	233740
[2019-10-08 오전 9:01:00] 종목(중복) :	033170
[2019-10-08 오전 9:01:01] 종목(중복) :	900100
[2019-10-08 오전 9:01:02] 종목(중복) :	033170
[2019-10-08 오전 9:01:42] 종목(중복) :	033180
[2019-10-08 오전 9:01:43] 종목(중복) :	033180
[2019-10-08 오전 9:01:53] 종목(중복) :	033180
[2019-10-08 오전 9:01:57] 종목(중복) :	027740
[2019-10-08 오전 9:01:58] 종목(중복) :	027740
[2019-10-08 오전 9:01:59] 종목(중복) :	033180
[2019-10-08 오전 9:02:01] 종목(중복) :	033170
[2019-10-08 오전 9:02:03] 종목(중복) :	900100
[2019-10-08 오전 9:02:19] 종목(중복) :	052420
[2019-10-08 오전 9:02:23] 종목(중복) :	900100
[2019-10-08 오전 9:02:24] 종목(중복) :	052420
[2019-10-08 오전 9:02:24] 종목(중복) :	900100
[2019-10-08 오전 9:02:30] 종목(중복) :	052420
[2019-10-08 오전 9:02:33] 종목(중복) :	052420
[2019-10-08 오전 9:02:34] 종목(중복) :	005110
[2019-10-08 오전 9:02:35] 종목(중복) :	052420
[2019-10-08 오전 9:02:36] 종목(중복) :	052420
[2019-10-08 오전 9:02:39] 종목(중복) :	052420
[2019-10-08 오전 9:02:41] 종목(중복) :	052420
[2019-10-08 오전 9:02:49] 종목 :	128540	에코캡
[2019-10-08 오전 9:02:52] 종목(중복) :	005110
[2019-10-08 오전 9:02:53] 종목(중복) :	128540
[2019-10-08 오전 9:02:57] 종목(중복) :	033180
[2019-10-08 오전 9:02:58] 종목(중복) :	033180
[2019-10-08 오전 9:02:59] 종목(중복) :	033180
[2019-10-08 오전 9:03:00] 종목(중복) :	033170
[2019-10-08 오전 9:03:00] 종목(중복) :	033170
[2019-10-08 오전 9:03:03] 종목(중복) :	043220
[2019-10-08 오전 9:03:04] 종목(중복) :	900100
[2019-10-08 오전 9:03:07] 종목(중복) :	900100
[2019-10-08 오전 9:03:15] 종목(중복) :	900100
[2019-10-08 오전 9:03:22] 종목(중복) :	128540
[2019-10-08 오전 9:03:27] 종목(중복) :	128540
[2019-10-08 오전 9:03:27] 종목(중복) :	052420
[2019-10-08 오전 9:03:28] 종목(중복) :	128540
[2019-10-08 오전 9:03:29] 종목(중복) :	052420
[2019-10-08 오전 9:03:30] 종목(중복) :	128540
[2019-10-08 오전 9:03:33] 종목(중복) :	128540
[2019-10-08 오전 9:03:39] 종목(중복) :	096630
[2019-10-08 오전 9:03:46] 종목(중복) :	052420
[2019-10-08 오전 9:03:47] 종목(중복) :	233740
[2019-10-08 오전 9:03:49] 종목(중복) :	033180
[2019-10-08 오전 9:03:50] 종목(중복) :	033180
[2019-10-08 오전 9:03:55] 종목(중복) :	900100
[2019-10-08 오전 9:03:59] 종목(중복) :	233740
[2019-10-08 오전 9:04:00] 주식분봉차트조회(5분봉) : 072520
[2019-10-08 오전 9:04:00] 종목(중복) :	128540
[2019-10-08 오전 9:04:01] 종목(중복) :	033170
[2019-10-08 오전 9:04:02] 종목(중복) :	033170
[2019-10-08 오전 9:04:02] 종목(중복) :	043220
[2019-10-08 오전 9:04:04] 종목(중복) :	033180
[2019-10-08 오전 9:04:04] 종목(중복) :	096630
[2019-10-08 오전 9:04:05] 종목(중복) :	033180
[2019-10-08 오전 9:04:07] 종목(중복) :	033180
[2019-10-08 오전 9:04:09] 종목(중복) :	033180
[2019-10-08 오전 9:04:10] 종목(중복) :	033180
[2019-10-08 오전 9:04:13] 종목(중복) :	052420
[2019-10-08 오전 9:04:14] 종목(중복) :	033180
[2019-10-08 오전 9:04:16] 종목(중복) :	052420
[2019-10-08 오전 9:04:20] 종목(중복) :	052420
[2019-10-08 오전 9:04:23] 종목(중복) :	052420
[2019-10-08 오전 9:04:23] 종목(중복) :	900100
[2019-10-08 오전 9:04:27] 종목(중복) :	033180
[2019-10-08 오전 9:04:27] 종목(중복) :	900100
[2019-10-08 오전 9:04:28] 종목(중복) :	033180
[2019-10-08 오전 9:05:00] 피봇2차저항 1차돌파 : 033170	시그네틱스
[2019-10-08 오전 9:05:00] 피봇2차저항 1차돌파 : 096630	에스코넥
[2019-10-08 오전 9:05:03] 종목(중복) :	033180
[2019-10-08 오전 9:05:03] 종목(중복) :	088290
[2019-10-08 오전 9:05:04] 종목(중복) :	096630
[2019-10-08 오전 9:05:07] 종목(중복) :	033170
[2019-10-08 오전 9:05:07] 종목(중복) :	128540
[2019-10-08 오전 9:05:09] 종목(중복) :	033180
[2019-10-08 오전 9:05:12] 종목(중복) :	033180
[2019-10-08 오전 9:05:13] 종목 :	297570	알로이스
[2019-10-08 오전 9:05:27] 종목 :	033110	코너스톤네트웍스
[2019-10-08 오전 9:05:27] 종목(중복) :	128540
[2019-10-08 오전 9:05:30] 종목(중복) :	128540
[2019-10-08 오전 9:05:34] 종목(중복) :	033170
[2019-10-08 오전 9:05:42] 종목(중복) :	096630
[2019-10-08 오전 9:05:43] 종목(중복) :	096630
[2019-10-08 오전 9:05:47] 종목(중복) :	005110
[2019-10-08 오전 9:05:47] 종목(중복) :	096630
[2019-10-08 오전 9:06:01] 종목(중복) :	128540
[2019-10-08 오전 9:06:02] 종목(중복) :	900270
[2019-10-08 오전 9:06:02] 종목(중복) :	033170
[2019-10-08 오전 9:06:03] 종목(중복) :	297570
[2019-10-08 오전 9:06:04] 종목(중복) :	043220
[2019-10-08 오전 9:06:04] 종목(중복) :	096630
[2019-10-08 오전 9:06:07] 종목(중복) :	043220
[2019-10-08 오전 9:06:09] 종목(중복) :	033110
[2019-10-08 오전 9:06:10] 종목(중복) :	900100
[2019-10-08 오전 9:06:11] 종목(중복) :	043220
[2019-10-08 오전 9:06:15] 종목(중복) :	043220
[2019-10-08 오전 9:06:15] 종목(중복) :	900100
[2019-10-08 오전 9:06:20] 종목(중복) :	900100
[2019-10-08 오전 9:06:20] 종목(중복) :	900100
[2019-10-08 오전 9:06:21] 종목(중복) :	043220
[2019-10-08 오전 9:06:22] 종목(중복) :	900100
[2019-10-08 오전 9:06:26] 종목(중복) :	900100
[2019-10-08 오전 9:06:27] 종목(중복) :	043220
[2019-10-08 오전 9:06:27] 종목(중복) :	088290
[2019-10-08 오전 9:06:32] 종목(중복) :	043220
[2019-10-08 오전 9:06:42] 종목(중복) :	043220
[2019-10-08 오전 9:06:43] 종목(중복) :	128540
[2019-10-08 오전 9:06:45] 종목(중복) :	128540
[2019-10-08 오전 9:06:47] 종목(중복) :	128540
[2019-10-08 오전 9:06:48] 종목(중복) :	128540
[2019-10-08 오전 9:07:01] 종목(중복) :	297570
[2019-10-08 오전 9:07:01] 종목(중복) :	033110
[2019-10-08 오전 9:07:01] 종목(중복) :	096630
[2019-10-08 오전 9:07:02] 종목(중복) :	900100
[2019-10-08 오전 9:07:06] 종목(중복) :	033170
[2019-10-08 오전 9:07:08] 종목(중복) :	033170
[2019-10-08 오전 9:07:09] 종목(중복) :	033170
[2019-10-08 오전 9:07:10] 종목(중복) :	033170
[2019-10-08 오전 9:07:10] 종목(중복) :	043220
[2019-10-08 오전 9:07:11] 종목(중복) :	096630
